Position,"Track Name",Artist,Streams,URL
82,Trust,"Brent Faiyaz",350577,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
83,"SLOW DANCING IN THE DARK",Joji,348852,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
84,"All Girls Are The Same","Juice WRLD",347927,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
85,Ransom,"Lil Tecca",340247,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
86,"Modern Loneliness",Lauv,339076,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
87,"Truth Hurts",Lizzo,338526,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
88,July,"Noah Cyrus",330348,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
89,"No Guidance (feat. Drake)","Chris Brown",328905,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
90,"We are Bulletproof : the Eternal",BTS,327410,https://open.spotify.com/track/44WLOqH7QayQOQdeUHeKUK
91,EARFQUAKE,"Tyler, The Creator",327043,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
92,"223's (feat. 9lokknine)","YNW Melly",326900,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
93,"Lose You To Love Me","Selena Gomez",323029,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
94,Friends,BTS,322119,https://open.spotify.com/track/7w05lsU2VLSeiT8Nukrv5M
95,"What If I Told You That I Love You","Ali Gatie",321312,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
96,"Old Me","5 Seconds of Summer",318367,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
97,"Inner Child",BTS,316774,https://open.spotify.com/track/4BKOjYosPhw334moS3wlbO
98,Physical,"Dua Lipa",315559,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
99,"Baby (Lil Baby feat. DaBaby)","Quality Control",315196,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
