Position,Track_Name,Artist,Streams,URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
160,Speechless,Dan + Shay,226940,3GJ4hzg4lrGwU51Y3VARbF,0.616,0.438,-5.968,0.0298,0.356,0,0.24,0.386,135.929,213387
161,Under The Table,Fiona Apple,226525,12WhIX6MvI93bS3wPSStSY,0.64,0.494,-8.14,0.0602,0.295,4.80E-06,0.248,0.547,119.854,201352
162,Armed And Dangerous,Juice WRLD,226376,5wujBwqG7INdStqGd4tRMX,0.736,0.67,-6.702,0.311,0.186,0,0.114,0.845,130.032,169999
163,Better Now,Post Malone,226289,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,-5.804,0.04,0.331,0,0.135,0.341,145.038,231267
164,Vete,Bad Bunny,224911,2n7ohqg1s68ToAHh4u9mcW,0.886,0.672,-4.394,0.188,0.0363,8.78E-06,0.101,0.526,91.976,192024
165,Captain Hook,Megan Thee Stallion,222847,1E3VQQWFQAPJkXfYHjqWoI,0.863,0.633,-5.002,0.287,0.0118,0,0.285,0.545,163.991,176750
166,you were good to me (bonus track),Jeremy Zucker,220135,0JnSoyZMTYZLWFVdVT1JFZ,0.469,0.08,-15.489,0.0425,0.897,4.22E-05,0.112,0.206,101.238,219147
167,Hurricane,Luke Combs,219774,6xHI9KjUjYT0FPtGO8Mxa1,0.464,0.813,-6.185,0.0416,0.0153,0,0.254,0.516,75.975,222533
168,Moonlight,XXXTENTACION,219303,0JP9xo3adEtGSdUEISiszL,0.921,0.537,-5.723,0.0804,0.556,0.00404,0.102,0.711,128.009,135090
169,Stuck In A Dream (feat. Gunna),Lil Mosey,218406,7iHHxY2NLlJRAmlAmC4ahQ,0.748,0.648,-6.445,0.0816,0.484,0,0.126,0.726,139.952,123560
170,Lalala,Y2K,217852,51Fjme0JiitpyXKuyQiCDo,0.843,0.391,-7.899,0.0845,0.181,0,0.137,0.496,129.972,160627
171,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,217784,1wJRveJZLSb1rjhnUHQiv6,0.581,0.662,-5.239,0.303,0.0153,0,0.111,0.434,93.023,189487
172,Without Me,Halsey,217230,6FZDfxM3a3UCqtzo5pxSLZ,0.752,0.488,-7.05,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,201661
173,Yummy,Justin Bieber,217207,16wAOAZ2OkqoIDN7TpChjR,0.676,0.506,-6.652,0.0958,0.345,0,0.118,0.497,145.842,208520
174,No Me Ame,Rvssian,216269,2AuWgceaQyfMoI3EGavwGb,0.68,0.766,-4.799,0.0923,0.0411,0,0.116,0.28,160.095,180000
175,Like It Is,Kygo,215878,3frUvGrmGcay91lvFbOgsN,0.794,0.728,-6.759,0.114,0.121,8.82E-06,0.227,0.36,105.024,183067
176,GOODMORNINGTOKYO!,TOKYO’S REVENGE,215276,0Q2n5yzl2XRqYbV77tZNYp,0.907,0.539,-7.782,0.36,0.0408,0,0.253,0.664,124.918,150115
177,Beer Never Broke My Heart,Luke Combs,215127,3RzcoFkZ0AOp2nH71jP504,0.54,0.863,-4.483,0.0481,0.0138,0,0.0874,0.64,77,186733
178,Body Like A Back Road,Sam Hunt,214345,7FpBQ067pHB67deawpbbcY,0.736,0.458,-7.437,0.0316,0.441,0,0.148,0.65,98.977,162547
179,Dior,Pop Smoke,214054,79s5XnCN4TJKTVMSmOx8Ep,0.548,0.805,-5.732,0.351,0.212,0.000389,0.408,0.648,142.094,216387
180,Tequila,Dan + Shay,214013,42fw0rxRO2xbesF6mJfd4Y,0.489,0.581,-5.731,0.0281,0.0312,0,0.132,0.494,86.016,196747
181,Legends,Juice WRLD,213189,1Knctxx9vGZxpZfF66BIEa,0.594,0.798,-5.244,0.0844,0.115,0,0.143,0.381,142.049,191840
182,Eastside (with Halsey & Khalid),benny blanco,212918,7FGq80cy8juXBCD2nrqdWU,0.632,0.686,-7.665,0.243,0.549,0,0.2,0.329,89.949,170770
183,Stupid Love,Lady Gaga,212832,2kJu14V7hbZw3I4K8L8SXb,0.676,0.815,-4.294,0.0625,0.00146,0.00041,0.275,0.796,117.973,193531
184,The London (feat. J. Cole & Travis Scott),Young Thug,212716,3s4mrPrEFFPF0LmAfutW0n,0.784,0.517,-8.981,0.209,0.0249,1.44E-06,0.155,0.206,97.991,200187
185,Tusa,KAROL G,212037,7k4t7uLgtOxPwTpFmtJNTY,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,200960
186,Dior (with Gunna) - Remix,Pop Smoke,211422,5R9k9x85lAYbamdUoKAJvj,0.73,0.816,-5.402,0.304,0.177,1.23E-05,0.415,0.803,142.054,230387
187,B.S. (feat. H.E.R.),Jhené Aiko,211091,63wx9vdskaXbYxyDx4oJCZ,0.617,0.525,-10.426,0.12,0.554,1.10E-06,0.135,0.377,135.781,212867
188,ORANGE SODA,Baby Keem,210466,5FkoSXiJPKTNyYgALRJFhD,0.83,0.564,-7.822,0.235,0.177,0,0.128,0.107,85.042,129882
189,ocean eyes,Billie Eilish,209972,2uIX8YMNjGMD7441kqyyNU,0.475,0.37,-7.725,0.0361,0.819,0.0577,0.0841,0.157,144.828,200560
190,This Bar,Morgan Wallen,209600,7oSq5fbsFkTS9zeJQwMihf,0.545,0.884,-5.208,0.0817,0.115,0.000424,0.0496,0.272,110.015,185733
191,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,209416,733c1CWmIGymoQXdp7Us88,0.819,0.654,-6.665,0.136,0.517,0,0.0996,0.455,133.503,188563
192,Lean Wit Me,Juice WRLD,209369,3oDkdAySo1VQQG0ptV7uwa,0.665,0.651,-5.515,0.156,0.0414,0,0.0896,0.237,163.935,175755
193,7 rings,Ariana Grande,209129,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,-10.732,0.334,0.592,0,0.0881,0.327,140.048,178627
194,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,208305,0JjM9bKm4wrwohMslcm892,0.803,0.759,-4.692,0.0494,0.00509,0,0.0921,0.284,104,213308
195,Relay,Fiona Apple,207557,5hnOzmFuGltDDAm008jFDh,0.502,0.574,-8.456,0.385,0.231,0,0.212,0.474,92.101,289230
196,Ignorantes,Bad Bunny,205946,38RIEav39FGi86jppxO0du,0.85,0.536,-5.161,0.0599,0.267,3.89E-05,0.0996,0.505,96.029,210607
197,This City,Sam Fischer,205377,3H3r2nKWa3Yk5gt8xgmsEt,0.602,0.377,-6.213,0.0446,0.731,0,0.0808,0.518,73.877,194853
198,Need Me,J.I the Prince of N.Y,203568,2dzja72gQodveSpguIQGJl,0.815,0.567,-4.653,0.135,0.156,0,0.0884,0.732,95.034,151641
199,Happier,Marshmello,202998,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,-2.749,0.0452,0.191,0,0.167,0.671,100.015,214290
200,Cold Beer Calling My Name,Jameson Rodgers,202800,3dV1fjKOlLnaNK5MeZHXGv,0.582,0.86,-4.092,0.0389,0.048,0,0.169,0.79,148.31,210480
