Position,"Track Name",Artist,Streams,URL
76,"My Oh My (feat. DaBaby)","Camila Cabello",304432,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
77,Woah,"Lil Baby",304293,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
78,"Chasin' You","Morgan Wallen",302527,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
79,"when the party's over","Billie Eilish",302462,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
80,"Whiskey Glasses","Morgan Wallen",300635,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
81,Memories,"Maroon 5",300249,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
82,"SLOW DANCING IN THE DARK",Joji,300128,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
83,"Like That (feat. Gucci Mane)","Doja Cat",298766,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
84,"PICK UP (feat. Quavo)",DaBaby,296577,https://open.spotify.com/track/5gNOINI5dXZVom2b36LMOd
85,"Gimme Love",Joji,295921,https://open.spotify.com/track/2hfoyc7ve6xM4ZEiNIiU1B
86,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",295841,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
87,"Play Date","Melanie Martinez",294080,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
88,Sasuke,"Lil Uzi Vert",293460,https://open.spotify.com/track/0ROE31C8Wu4neZoR9stM9e
89,"Beautiful Crazy","Luke Combs",292062,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
90,SAD!,XXXTENTACION,290838,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
91,"No Idea","Don Toliver",290665,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
92,Skechers,DripReport,289733,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
93,Maniac,"Conan Gray",286448,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
94,July,"Noah Cyrus",285903,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
95,SUGAR,BROCKHAMPTON,284726,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
96,Suge,DaBaby,282596,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
97,Wow.,"Post Malone",282458,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
98,"MIDDLE CHILD","J. Cole",281933,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
99,"Watermelon Sugar","Harry Styles",280937,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
100,"Party Girl",StaySolidRocky,280853,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
101,"I Hope","Gabby Barrett",280785,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
102,"XO Tour Llif3","Lil Uzi Vert",280611,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
103,"Goodbyes (Feat. Young Thug)","Post Malone",279604,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
104,"Moral of the Story",Ashe,278357,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
105,"After Hours","The Weeknd",276418,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
106,"Know Your Worth",Khalid,274564,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
107,"I Fall Apart","Post Malone",271253,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
108,Falling,"Harry Styles",270102,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
109,"rockstar (feat. 21 Savage)","Post Malone",268035,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
110,"JUMP (feat. YoungBoy Never Broke Again)",DaBaby,267206,https://open.spotify.com/track/0oT9ElXYSxvnOOagP9efDq
111,"Truth Hurts",Lizzo,266662,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
112,VIBEZ,DaBaby,265880,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
113,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,262560,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
114,"Murder On My Mind","YNW Melly",262447,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
115,"Hate Me (with Juice WRLD)","Ellie Goulding",261673,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
116,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",261409,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
117,"BELIEVE IT",PARTYNEXTDOOR,259814,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
118,"Heatin Up (feat. Gunna)","Lil Baby",257601,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
119,Physical,"Dua Lipa",256881,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
120,F.N,"Lil Tjay",254659,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
121,"Sum 2 Prove","Lil Baby",253784,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
122,"The Less I Know The Better","Tame Impala",253593,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
123,"Heartless (feat. Morgan Wallen)",Diplo,252453,https://open.spotify.com/track/5mTL8ZHcB2LJdlrR78xJYr
124,EARFQUAKE,"Tyler, The Creator",251798,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
